drift_threshold,authorship_margin,uncorroborated_weight,suspicious,ramp_width,precision,recall,f1,fpr,tp,fp,fn,tn,hn_fpr,malicious_precision
0.2,0.0,1.0,0.4,0.1,0.3913,0.5294,0.45,0.2414,9,14,8,44,0.5556,0.0
0.2,0.0,1.0,0.4,0.2,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.0,1.0,0.4,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.0,1.0,0.5,0.1,0.3913,0.5294,0.45,0.2414,9,14,8,44,0.5556,0.0
0.2,0.0,1.0,0.5,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.0,1.0,0.5,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.0,1.0,0.6,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,1.0,0.6,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,1.0,0.6,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.0,1.0,0.7,0.1,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.0,1.0,0.7,0.2,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.0,1.0,0.7,0.3,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.05,0.2,0.3,0.1,0.7143,0.5882,0.6452,0.069,10,4,7,54,0.1111,0.0
0.2,0.05,0.2,0.3,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.3,0.3,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.4,0.1,0.75,0.5294,0.6207,0.0517,9,3,8,55,0.0,0.0
0.2,0.05,0.2,0.4,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.4,0.3,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.5,0.1,0.75,0.5294,0.6207,0.0517,9,3,8,55,0.0,0.0
0.2,0.05,0.2,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.5,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.05,0.2,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.6,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.2,0.6,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.05,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.2,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.2,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.35,0.3,0.1,0.4762,0.5882,0.5263,0.1897,10,11,7,47,0.5556,0.0
0.2,0.05,0.35,0.3,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.35,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.35,0.4,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.05,0.35,0.4,0.2,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.05,0.35,0.4,0.3,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.05,0.35,0.5,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.05,0.35,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.35,0.5,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.05,0.35,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.35,0.6,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.35,0.6,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.05,0.35,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.35,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.35,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.45,0.3,0.1,0.4762,0.5882,0.5263,0.1897,10,11,7,47,0.5556,0.0
0.2,0.05,0.45,0.3,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.45,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.45,0.4,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.05,0.45,0.4,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.45,0.4,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.45,0.5,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.05,0.45,0.5,0.2,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.05,0.45,0.5,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.05,0.45,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.45,0.6,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.05,0.45,0.6,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.05,0.45,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.45,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.45,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.6,0.3,0.1,0.4348,0.5882,0.5,0.2241,10,13,7,45,0.5556,0.0
0.2,0.05,0.6,0.3,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,0.6,0.3,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,0.6,0.4,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.05,0.6,0.4,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.6,0.4,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.6,0.5,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.05,0.6,0.5,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.6,0.5,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.05,0.6,0.6,0.1,0.5,0.4706,0.4848,0.1379,8,8,9,50,0.5556,0.0
0.2,0.05,0.6,0.6,0.2,0.5,0.4706,0.4848,0.1379,8,8,9,50,0.5556,0.0
0.2,0.05,0.6,0.6,0.3,0.4615,0.3529,0.4,0.1207,6,7,11,51,0.5556,0.0
0.2,0.05,0.6,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.6,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.6,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.05,0.8,0.3,0.1,0.4,0.5882,0.4762,0.2586,10,15,7,43,0.5556,0.0
0.2,0.05,0.8,0.3,0.2,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.05,0.8,0.3,0.3,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.05,0.8,0.4,0.1,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.05,0.8,0.4,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,0.8,0.4,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,0.8,0.5,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.05,0.8,0.5,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.8,0.5,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.05,0.8,0.6,0.1,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.8,0.6,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,0.8,0.6,0.3,0.375,0.3529,0.3636,0.1724,6,10,11,48,0.5556,0.0
0.2,0.05,0.8,0.7,0.1,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.05,0.8,0.7,0.2,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.05,0.8,0.7,0.3,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.05,1.0,0.3,0.1,0.4,0.5882,0.4762,0.2586,10,15,7,43,0.5556,0.0
0.2,0.05,1.0,0.3,0.2,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.05,1.0,0.3,0.3,0.3478,0.4706,0.4,0.2586,8,15,9,43,0.5556,0.0
0.2,0.05,1.0,0.4,0.1,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.05,1.0,0.4,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,1.0,0.4,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,1.0,0.5,0.1,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.05,1.0,0.5,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.05,1.0,0.5,0.3,0.4,0.4706,0.4324,0.2069,8,12,9,46,0.5556,0.0
0.2,0.05,1.0,0.6,0.1,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,1.0,0.6,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.05,1.0,0.6,0.3,0.375,0.3529,0.3636,0.1724,6,10,11,48,0.5556,0.0
0.2,0.05,1.0,0.7,0.1,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
